highlights,Summary,Transformed_summary
"Video was captured at the Ngorongoro Conservation Area in Tanzania .
Israeli tourist filmed a group of baboons approaching a supply truck .
As one distracts the driver by lunging at it another jumps into vehicle .
Before long it re-emerges with its hands and mouth full of snacks .
The group of thieves reconvene and run off into the bushes together .",Israeli tourist filmed group baboons approaching supply truck . Video captured Ngorongoro Conservation Area Tanzania .,"Israeli tourist filmed group baboons approaching supply truck. Video captured Ngorongoro Conservation Area Tanzania. Video was captured by an Israeli tourist in the Ngoronga Conservation Area, Tanzania. Israeli tourist filmed a group of baboon approaching a supply truck in the area."
"Tennessee Supreme Court vacates execution dates for four men .
Leroy Hall Jr, 48, Donald Wayne Strouth, 56, Nicholas Todd Sutton, 53, and Abu-Ali Abdur’Rahman, 64, all faced upcoming death .
New executions stalled as states' new lethal injection methods scrutinized .","Leroy Hall Jr , 48 , Donald Wayne Strouth , 56 , Nicholas Todd Sutton , 53 , Abu-Ali Abdur ’ Rahman , 64 , faced upcoming death . Tennessee Supreme Court vacates execution dates four men .","Tennessee Supreme Court vacates execution dates for four men facing death sentence. Four men were set to be executed this month. Tennessee Supreme Court has now set a new execution date for the four men. The men are: Leroy Hall Jr, 48, Donald Wayne Strouth, 56, Nicholas Todd Sutton, 53, Abu-Ali Abdur ’ Rahman, 64, and Donald Wayne."
"Cows are treated as sacred in Nepal, where the majority are Hindus .
Killing a cow used to be punishable by death, but now carries a 12-year jail term .
Nepalese government officials have informed the country's PM .
An internal inquiry is underway and the matter will be raised with Pakistan .","Killing cow used punishable death , carries 12-year jail term . Cows treated sacred Nepal , majority Hindus .","Killing a cow is punishable by death in Nepal. Cows are considered sacred in Nepal, majority Hindus. Killing a cow carries a 12-year jail term. Killing cow is also punishable by a death sentence in Nepal if found guilty of killing a cow."
"Vice correspondent Gianna Toboni traveled to India to explore the country's booming gestational surrogacy industry for the HBO series .
In the US, surrogacy can cost hopeful parents upwards of $100,000 .
Many American couples are hiring surrogates in India because the cost is signficantly less than it would be in the Western World .","US , surrogacy cost hopeful parents upwards $ 100,000 . Vice correspondent Gianna Toboni traveled India explore country 's booming gestational surrogacy industry HBO series .","US surrogacy cost hopeful parents upwards $ 100,000. Vice correspondent Gianna Toboni traveled India explore country's booming gestational surrogacy industry HBO series HBO series surrogacy is based in New York City and is set to air on HBO in 2015."
"New Royal Caribbean cruise ship Anthem of the Seas is sailing out of Southampton this summer .
It has innovations including robot bartenders who dance to music as well as pour margaritas .
The liner holds the title of being the world's third largest cruise ship, with room for nearly 5,000 passengers .",innovations including robot bartenders dance music well pour margaritas . New Royal Caribbean cruise ship Anthem Seas sailing Southampton summer .,innovations including robot bartenders dance music well pour margaritas. New Royal Caribbean cruise ship Anthem Seas sailing Southampton summer.. New. Royal. Caribbean cruise. ship Anthem. Seas sailing. Southampton summer is sailing Southampton. summer is. sailing Southampton this summer.
"London Mayor warns the SNP want to 'end Britain, to decapitate Britannia'
Says Scottish Nationalists want higher taxes and welfare payments .
David Cameron warns England, Wales and Northern Ireland would suffer .
Nicola Sturgeon launches manifesto with vow to 'lead' the United Kingdom .","David Cameron warns England , Wales Northern Ireland would suffer . London Mayor warns SNP want 'end Britain , decapitate Britannia' Says Scottish Nationalists want higher taxes welfare payments .","David Cameron warns England, Wales Northern Ireland would suffer. London Mayor warns SNP want 'end Britain, decapitate Britannia' Says Scottish Nationalists want higher taxes welfare payments. David Cameron. warns England, Wales. Northern Ireland. would suffer. London Mayor. warns SNP. want'end Britain, decapitate. Britannia."
"The Large Hadron Collider (LHC) begins again after a two-year shutdown .
The restart was delayed in March .",restart delayed March . Large Hadron Collider ( LHC ) begins two-year shutdown .,restart delayed March. Large Hadron Collider ( LHC ) begins two-year shutdown.. LHC is expected to be restarted in March 2015... The LHC will be the world's largest particle accelerator.. It is the most powerful particle accelerator in the world.
"Experience Berlin for £14, South Africa for £21 and Abu Dhabi for just £29 .
New concept of 'the holiday' is brainchild of Park Inn by Radisson .
Programme will post your actions 'on holiday' to social networks .","New concept 'the holiday ' brainchild Park Inn Radisson . Experience Berlin £14 , South Africa £21 Abu Dhabi £29 .","New concept 'the holiday'brainchild Park Inn Radisson. Experience Berlin £14, South Africa £21 Abu Dhabi £29 and Abu Dhabi is £29 a night. Park Inn is a brand of Radisson Radisson Hospitality and is based in Radisson Blu in London."
"The spectacular photos were taken at paddy fields in China, Thailand, Vietnam, Laos and Cambodia .
Photographer Scott Gable spent four months travelling region to document the process of harvesting the crop .
Rice accounts for one fifth of all calories consumed by humans but crop is often still cultivated in primitive way .","Photographer Scott Gable spent four months travelling region document process harvesting crop . spectacular photos taken paddy fields China , Thailand , Vietnam , Laos Cambodia .","Photographer Scott Gable spent four months travelling region document process harvesting crop. spectacular photos taken paddy fields China, Thailand, Vietnam, Laos Cambodia and Cambodia. Scott spent four. months. travelling region to document process. harvesting crop. spectacular photos of paddy. fields."
"They will be included in 2018 flight of Orion and Space Launch System .
NEA Scout will fly by a small asteroid, taking pictures and getting data .
Lunar Flashlight will illuminate moon's craters and measure surface ice .
BioSentinel will use yeast to measure the impact of deep space radiation .","NEA Scout fly small asteroid , taking pictures getting data . included 2018 flight Orion Space Launch System .","NEA Scout fly small asteroid, taking pictures getting data. included 2018 flight Orion Space Launch System.. included 2018 test flight Orion space launch system.. included a mission to a small asteroid, taking pictures to get data on it.. A mission to an asteroid is planned for 2018."
"Lorna McCarthy was fatally stabbed through the heart  last September .
Ex-husband Barry McCarthy attacked her in the Norfolk home they shared .
Mrs McCarthy had previously sent texts saying she feared for her life .
McCarthy, 51, was found guilty of murder at Norwich Crown Court today .",Ex-husband Barry McCarthy attacked Norfolk home shared . Lorna McCarthy fatally stabbed heart last September .,Ex-husband Barry McCarthy attacked Norfolk home shared with ex-wife Lorna McCarthy. Lorn a McCarthy fatally stabbed heart last September. Barry McCarthy was found dead from a stab wound to the heart in a Norfolk home in September last year. Barry was also found dead of a self-inflicted stab wound.
"David Healy is head of psychiatry at the Hergest psychiatry unit in Bangor .
Claims the idea low levels of serotonin causes depression is a fallacy .
Marketing of SSRI drugs like Prozac has been 'based on a myth', he claims .
Experts refute his claims saying 'SSRIs work in the real world of the clinic'",Claims idea low levels serotonin causes depression fallacy . David Healy head psychiatry Hergest psychiatry unit Bangor .,Claims idea low levels serotonin causes depression fallacy is a fallacy. David Healy head psychiatry hergest psychiatry unit Bangor is is is the largest psychiatry unit in the UK. Healy is. head of the. Hergest psychiatry Hergest Psychiatry Unit Bangor.
"Chancellor faces calls to rule out further tax cuts for the UK's top earners .
He dodged questions over plans to offer more help to £50,000 plus salaries .
Instead he focused on raising the amount of tax-free income to £12,500 .
Labour plans to impose 50 per cent tax rate on salaries of £150,000 or more .
The current rate for the top tax bracket is 45p with basic standing at 20p .","dodged questions plans offer help £50,000 plus salaries . Chancellor faces calls rule tax cuts UK 's top earners .","dodged questions plans offer help £50,000 plus salaries. Chancellor faces calls rule tax cuts UK's top earners. Chancellor. faces calls to rule out tax cuts for UK's top earners.. Chancellor is facing calls. to rule tax. cuts for top earners in the UK."
"Sunderland face a fight to remain in the Premier League after poor season .
The Black Cats sit only three points above the drop zone .
Strugglers fell to humiliating 4-1 loss against Crystal Palace last weekend .
Sunderland are without a game this weekend before they travel to Stoke .",Black Cats sit three points drop zone . Sunderland face fight remain Premier League poor season .,"Black Cats sit three points drop zone. Sunderland face fight remain Premier League poor season. Black Cats are currently in the Premier League relegation zone. Sunderland are currently 13th in the table, three points above the relegation drop zone.. Sunderland sit in the relegation zone.."
"Manny Pacquiao fights Floyd Mayweather at the MGM Grand on May 2 .
Pacquiao took to Instagram on Thursday to thank Spike Lee and Tito Mikey .
36-year-old was also visited by  NBA legend Karl Malone at his boxing gym .",Pacquiao took Instagram Thursday thank Spike Lee Tito Mikey . Manny Pacquiao fights Floyd Mayweather MGM Grand May 2 .,Pacquiao took Instagram Thursday thank Spike Lee Tito Mikey. Manny Pacquiao fights Floyd Mayweather MGM Grand May 2 May 2. Pacquao is a Filipino boxer who fights in the welterweight division against Floyd Mayweather Jr. and is coached by Floyd Mayweather Sr.
"Scientists say early DNA-like fragments guided their own growth .
They claim the process can drive the formation of chemical bonds .
These connect short DNA chains to form long ones for life to evolve .
This self-assembly capability has been shown to take place in RNA .",claim process drive formation chemical bonds . Scientists say early DNA-like fragments guided growth .,claim process drive formation chemical bonds. Scientists say early DNA-like fragments guided growth. claim process drive chemical bonds. Scientists say. early DNA like fragments guided. growth.. Claim process drive. formation chemical. bonds. claim process. drive formationChemical bonds.
"The Queen's granddaughter is vying for a spot on Team GB in 2016 .
She gave birth to her daughter, Mia Grace, in January last year .
To regain her fitness Zara, 33, uses an exercise bike every morning .
She sticks to a healthy diet and also goes swimming and cycling .","gave birth daughter , Mia Grace , January last year . Queen 's granddaughter vying spot Team GB 2016 .","gave birth daughter, Mia Grace, January last year. Queen's granddaughter vying spot Team GB 2016.. Queen ’s granddaughter is competing for a spot on Team GB in the 2016 Olympic Games in Rio de Janeiro, Brazil.. Queen’s. granddaughter is vying. to be Team GB."
"Paul and Laura Elliott met half way round at St Katharine Docks .
Ceremony was witnessed by 80 guests .
Pair ran across finish line under a shower of confetti .
Returned to scene of ceremony for party later on .
Raised £7,000 for Cancer Research in honour of Paul's father .",Ceremony witnessed 80 guests . Paul Laura Elliott met half way round St Katharine Docks .,Ceremony witnessed 80 guests. Paul Laura Elliott met half way round St Katharine Docks. Paul Laura and Paul Laura. Elliott met. half way around St. Katharine. Docks met. Paul. Laura Elliott and Paul.Laura. Elliott. met.
"Interest in the hit BBC series Poldark has given Cornwall's tourism and housing market a boost .
Estate agents said they have seen a rise in interest from fans who are interested in purchasing a second home .
Beachfront property near Portreath has seven bedrooms, six reception rooms and seven bathrooms .",Estate agents said seen rise interest fans interested purchasing second home . Interest hit BBC series Poldark given Cornwall's tourism housing market boost .,Estate agents said seen rise interest fans interested purchasing second home. Interest hit BBC series Poldark given Cornwall's tourism housing market boost. Interest in second homes has seen a rise in interest from fans of the hit BBC show has seen rise in second home sales.
"Anonymous benefactor donated money to £20million restoration fund .
Identity of donor is known to church officials, but is being kept a secret .
Laura Brown, head of restoration, had to 'sit down' after reading letter .","Identity donor known church officials , kept secret . Anonymous benefactor donated money £20million restoration fund .","Identity donor known church officials, kept secret. Anonymous benefactor donated money £20million restoration fund.. Anonymous donor donated money. £20m restoration fund. £20 million restoration fund is a fund for a restoration fund for the Church of England.."
"Tim Swiel spent four months on loan at Harlequins earlier this season .
The 23-year-old featured in the European Champions Cup and LV= Cup .
The fly-half will return to the club on a full-time contract next season .",23-year-old featured European Champions Cup LV= Cup . Tim Swiel spent four months loan Harlequins earlier season .,23-year-old featured European Champions Cup LV= Cup. Tim Swiel spent four months loan Harlequins earlier season on loan at Harle Quins earlier this season. Swiel has featured in the Champions Cup and LV= cup this season as well as the European League Cup.
"Aston will face Arsenal in the FA Cup final at Wembley on May 30 .
Shay Given started for Villa in their 2-1 semi-final victory against Liverpool .
Villa travel to the Etihad to play Manchester City on Saturday .",Shay Given started Villa 2-1 semi-final victory Liverpool . Aston face Arsenal FA Cup final Wembley May 30 .,Shay Given started Villa 2-1 semi-final victory Liverpool. Aston Villa face Arsenal FA Cup final Wembley May 30. Aston face Arsenal in the final at Wembley Wembley on May 30th.. Aston Aston Villa are the defending FA Cup winners.
"Former NFL cornerback Will Allen and his business partner Susan Daub are facing civil fraud charges from federal regulators .
They allegedly reaped over $31 million in a Ponzi scheme that promised high returns to investors from funding loans to cash-strapped pro athletes .
Allen, 36, was a cornerback in the NFL from 2001 to 2012, playing for the New York Giants and the Miami Dolphins .
The SEC said Allen and Daub paid about $20 million to investors but received only around $13 million in loan repayments from athletes .
To make up the gap they paid investors with other investors' money rather than actual profits on the investments, the agency said .",allegedly reaped $ 31 million Ponzi scheme promised high returns investors funding loans cash-strapped pro athletes . Former NFL cornerback Allen business partner Susan Daub facing civil fraud charges federal regulators .,allegedly reaped $ 31 million Ponzi scheme promised high returns investors funding loans cash-strapped pro athletes. Former NFL cornerback Allen business partner Susan Daub facing civil fraud charges federal regulators. Allen is a former NFL cornerback who played for the Buffalo Bills and the Oakland Raiders.
"Thief stole sat nav from elderly woman's car after she was injured in crash .
Woman, 73, was waiting for an ambulance with husband who has dementia .
Suspect was photographed as he fled the scene in Hulme, Manchester .
Bearded man was wearing purple shorts and is aged between 30 and 40 .","Woman , 73 , waiting ambulance husband dementia . Thief stole sat nav elderly woman 's car injured crash .","Woman, 73, waiting ambulance husband dementia. Thief stole sat nav sat nav elderly woman's car injured crash.. Thief stole a sat nav sits nav satNav sat nav from an elderly woman's car.. Woman, 73, waiting ambulance. husband dementia."
"Sarkozy faces charges over funding of failed 2012 bid to retain presidency .
Declared that 'hope has been reborn' after huge gains in regional elections .
But just days later, he is pictured being driven to a financial court hearing .",Declared 'hope reborn ' huge gains regional elections . Sarkozy faces charges funding failed 2012 bid retain presidency .,Declared 'hope reborn'huge gains regional elections. Sarkozy faces charges funding funding failed 2012 bid to retain presidency. Declared 'Hope reborn' huge gains in regional elections. Sarkozy. faces charges. funding failed failed 2012 2012 bid retain presidency.
"Manny Pacquiao will take on Floyd Mayweather at the MGM Grand in Las Vegas on Saturday .
The Filipino boxer is one of the biggest stars in the world of sport after a series of big fights .
Pacquiao spent his early years boxing in Manila in the Philippines and was pictured training as a 17-year-old .
Pictures taken in 1996 show Pacquiao training at the LM Gym in Manila before he became a star .
The 36-year-old arrived in Las Vegas on Tuesday after a 270-mile journey from Los Angeles on his luxury bus .
CLICK HERE for all the latest Manny Pacquiao vs Floyd Mayweather news .",Filipino boxer one biggest stars world sport series big fights . Manny Pacquiao take Floyd Mayweather MGM Grand Las Vegas Saturday .,Filipino boxer one biggest stars world sport series big fights. Manny Pacquiao take Floyd Mayweather MGM Grand Las Vegas MGM Grand MGM Grand on Saturday night. Pacquao beat Mayweather by a decision of 10-9 in the first round. Mayweather won the second round by a majority decision.
"Ricky Woolaston, 35, posed as engineer to break into students' homes .
Stole laptops and phones in order to feed his drug habit, court told .
Was caught after leaving behind charge sheet with name and address on .","Stole laptops phones order feed drug habit , court told . Ricky Woolaston , 35 , posed engineer break students ' homes .","Stole laptops phones order feed drug habit, court told. Ricky Woolaston, 35, posed engineer break students'homes. Ricky. Woolaston, 35, posed engineer. break students' homes, court was told. He. posed engineer broke students'. homes. He stole laptops phones to feed a drug habit."
"Photos capture spectacular moment goose narrowly avoids fox's jaw .
The sly animal is seen leaping in his bid to bring down the large bird .
Action-packed photos captured by Roger Byng in Gloucester wetlands .",sly animal seen leaping bid bring large bird . Photos capture spectacular moment goose narrowly avoids fox 's jaw .,sly animal seen leaping bid to bring large bird. Photos capture spectacular moment goose narrowly avoids fox's jaw.. Photos capture a goose narrowly. narrowly avoids a fox's jaw. Photos. capture a. goose narrowly avoid a. fox’s jaw.
"When a user receives a call, Hello will show them info about who’s calling .
This includes any public information collated from their Facebook profile .
Hello also shows how many people have blocked an unknown number .
Free app is currently in beta and only available on Android devices .","includes public information collated Facebook profile . user receives call , Hello show info ’ calling .","includes public information collated Facebook profile.. user receives call, Hello show info ’ calling ’ is is is a a a form of pre- programmed text message message message... users. receive call,. is a form. of text message that. shows a user has received a call.."
"Kate Parker is the photographer and mother behind ""Strong is the New Pretty""
The photo series shows her messy, wild daughters as they are, Parker said .","Kate Parker photographer mother behind `` Strong New Pretty '' photo series shows messy , wild daughters , Parker said .","Kate Parker is the photographer mother behind the photo series ""Strong New Pretty"" The photo series shows messy, wild daughters, Parker said. Kate Parker is a photographer mother is the mother behind `` Strong New Pretty '' photo series. Kate is also a photographer and a mother is photographer."
"Israeli law says the Prime Minister must form his government in less than 42 days .
Netanyahu cites government stability and reaching ""agreement on important issues"" as reasons he needs additional time .",Netanyahu cites government stability reaching `` agreement important issues '' reasons needs additional time . Israeli law says Prime Minister must form government less 42 days .,Netanyahu cites government stability reaching agreement important issues '' reasons needs additional time. Israeli law says Prime Minister must form government less 42 days.. Netanyahu cites government. stability reaching an agreement on important issues is one of the reasons needs more time.. Israeli law. says Prime. Minister mustform government less than 42 days.
"Queens Park Rangers strode to a 4-1 victory against the Baggies .
Joey Barton believes his side can take great confidence from away win .
Premier League relegation candidates QPR currently occupy 18th spot .",Joey Barton believes side take great confidence away win . Queens Park Rangers strode 4-1 victory Baggies .,Joey Barton believes side take great confidence away win. Queens Park Rangers strode 4-1 victory over the Baggies. QPR take confidence from the win with a win away win in the Premier League. Joey Barton believes team take confidence away from win with the win.
"Rajee Narinesingh, one of the victims of 'toxic tush doctor 'Oneal Ron Morris, stepped out showing her new face over the weekend .
Rajee was recently treated by Dr Terry Dubrow and Dr Paul Nassif in a process that will be featured on the premiere episode of Botched .
This after a 2005 procedure in which her cheeks, chin and lips were injected with cement and tire sealant .","Rajee recently treated Dr Terry Dubrow Dr Paul Nassif process featured premiere episode Botched . Rajee Narinesingh , one victims 'toxic tush doctor 'Oneal Ron Morris , stepped showing new face weekend .","Rajee recently treated Dr Terry Dubrow. Dr Paul Nassif process featured premiere episode Botched. Rajee Narinesingh is one victims 'toxic tush doctor 'Oneal Ron Morris, stepped showing new face weekend. Rajee is also one of the faces of Botched."
"Ferrari won the second grand prix of the season in Malaysia .
Sebastian Vettel's victory was a shock given Mercedes' strong start .
But Ferrari's technical director believes Mercedes will be strong in China .
The cooler climate should suit Lewis Hamilton and Nico Rosberg .
CLICK HERE for the latest F1 news ahead of the 2015 Chinese Grand Prix .",Sebastian Vettel 's victory shock given Mercedes ' strong start . Ferrari second grand prix season Malaysia .,Sebastian Vettel's victory shock given Mercedes'strong start. Ferrari second grand prix season Malaysia.. Ferrari has won two of the first three races of the season. Mercedes has won one of the three races so far this season. Ferrari have won the other two races.
"Barcelona president Josep Maria Bartomeu praises 'leader' Lionel Messi .
Bartomeu reveals Messi will always have a place at Barca .
Messi scored his 400th career goal for Barca last weekend .
CLICK HERE for all the latest Barcelona news .",Bartomeu reveals Messi always place Barca . Barcelona president Josep Maria Bartomeu praises 'leader ' Lionel Messi .,"Bartomeu reveals Messi always place Barca. Barcelona president Josep Maria Bartomeu praises 'leader'Lionel Messi. Barca president praises Messi as a 'leader' Lionel Messi is a'leader' who is a leader. Messi is 'always a leader' for Barcelona, says Bartomeus."
"LA judge reduced bail from $25 million to $10 million for rap producer .
On Thursday morning, Knight walked out of court after the hearing .
Authorities contend Knight intentionally hit the men, killing Terry Carter, 55, and seriously injuring Cle 'Bone' Sloan .
Knight, 49, was a key player in the gangster rap scene that flourished in the 1990s, and his label once listed Dr Dre, Tupac Shakur and Snoop Dogg .","Thursday morning , Knight walked court hearing . LA judge reduced bail $ 25 million $ 10 million rap producer .","Thursday morning, Knight walked court hearing. LA judge reduced bail $ 25 million $ 10 million rap producer. Thursday morning, Knight walk court hearing. LA judge reduces bail $25 million $10 million rapProducer. Knight is a rapper and a music producer from Los Angeles, California."
"Plans for site for travellers has been approved by East Cheshire Council .
This is despite angry neighbours in village of Cledford angry about plans .
Grade II listed barn next to hall to be converted into toilets and showers .
Full cost of the development was only revealed through Freedom of Information request .",despite angry neighbours village Cledford angry plans . Plans site travellers approved East Cheshire Council .,despite angry neighbours village Cledford angry plans. Despite angry neighbours. village. Cledfords angry plans. Plans site travellers approved East Cheshire Council approved East. Cheshire council approved a site travellers site travellers plan site travellers was approved. despite. angry neighbours
"Bayern Munich thrashed Porto 6-1 in the Champions League on Tuesday .
Bayern trailed 3-1 after their first leg defeat in Portugal .
Manager Pep Guardiola appeared with a tear in his trousers on the sideline .",Bayern trailed 3-1 first leg defeat Portugal . Bayern Munich thrashed Porto 6-1 Champions League Tuesday .,Bayern Munich thrashed Porto 6-1 in Champions League Tuesday. Bayern trailed 3-1 first leg defeat Portugal. Bayern Munich trailed Porto 3-2 in first leg of Champions League last 16 first leg tie. Bayern came from behind to win the game 6-2.
"2 minors were sentenced to 10 years in prison, in addition to adults getting life .
52 of the 73 defendants were sentenced in absentia .
The Virgin Mary Church was burned along with dozens of others in August 2013 .","52 73 defendants sentenced absentia . 2 minors sentenced 10 years prison , addition adults getting life .","52 73 defendants sentenced absentia. 2 minors sentenced 10 years prison, addition adults getting life.. 52. 73 defendants sentences absentia. 2 minors sentences 10 years. prison, 2 minors sentence 10. years prison, addition adults get life. 52. 52 defendants sentence absentia or sentenced to prison."
"Arsenal and Liverpool fans left seats empty at kick-off as part of a protest .
Supporter groups say they are disgusted at Premier League ticket prices .
More protests are expected after the lunchtime kick-off at the Emirates .",Supporter groups say disgusted Premier League ticket prices . Arsenal Liverpool fans left seats empty kick-off part protest .,Supporter groups say disgusted Premier League ticket prices are too high. Arsenal Liverpool fans left seats empty kick-off part protest as part of a protest against high ticket prices. Supporters groups say they are disgusted by the cost of Premier League tickets. Arsenal. Liverpool. fans left. seats empty as a part protest.
"The CDC says ""the risk to humans is low,"" but, as always, they are preparing for the worst case .
You can't get bird flu from eating poultry or eggs .
At least 100 people who worked with the sick birds are being monitored for any sign of sickness .
So far 3.5 million birds have been euthanized .","ca n't get bird flu eating poultry eggs . CDC says `` risk humans low , '' , always , preparing worst case .","CDC.can't get bird flu eating poultry eggs... CDC says the risk humans. low is low.. always. preparing worst case is is is. always, preparing worst. case.. preparing a. worst case case plan is. preparing. a."
"Mateo Musacchio fractured fibula and dislocated ankle during Getafe draw .
Santi Cazorla tweeted: 'A lot of best wishes to my friend Mateo'
Arsenal midfielder Cazorla and Musacchio played together at Villarreal .",Santi Cazorla tweeted : ' lot best wishes friend Mateo' Arsenal midfielder Cazorla Musacchio played together Villarreal . Mateo Musacchio fractured fibula dislocated ankle Getafe draw .,Santi Cazorla tweeted :'lot best wishes friend Mateo' Arsenal midfielder and Mateo Musacchio played together Villarreal. Mateo suffered a fractured fibula dislocated ankle in Getafe draw with Getafe. Santi tweeted: 'A lot of best wishes best wishes to a lot of my friends.
"Stephen Gilbert jokes that the dog 'unresolved anger issues' after bite .
He is defending a slim majority of 1,312 in St Austell and Newquay .
Lib Dems think they could lose 20 seats but still be back in power .","defending slim majority 1,312 St Austell Newquay . Stephen Gilbert jokes dog 'unresolved anger issues ' bite .","defending slim majority 1,312 St Austell Newquay. Stephen Gilbert jokes dog 'unresolved anger issues'bite bite bite. Stephen Gilbert. jokes dog ‘unres resolved anger issues ’ bite bite. Stephen. Gilbert jokes. dog ’unresolve anger issues’ bite."
"Chris Sussman said particular jokes must go through 'a lot of layers'
Cautiousness comes after a 'difficult few years' at the BBC, he added .
Made the comments at a Bafta event on free speech and television .","Made comments Bafta event free speech television . Chris Sussman said particular jokes must go ' lot layers' Cautiousness comes 'difficult years ' BBC , added .","Made comments Bafta event free speech television. Chris Sussman said particular jokes must go'lot layers' Cautiousness comes 'difficult years'BBC, added Chris Sussedman said. 'There are a lot of layers' to jokes."
"The University of Kentucky's winning streak was brought to an end Saturday night with a 71-64 loss to the University of Wisconsin .
The Wisconsin Badgers will now play Duke for the NCAA tournament title Monday night - their first final since 1941 .
A crowd of more than a thousand gathered near UK's Lexington campus Saturday night to mourn the loss .
Police in riot gear arrested 31 people at that gathering on charges of public intoxication and disorderly conduct .",Wisconsin Badgers play Duke NCAA tournament title Monday night - first final since 1941 . University Kentucky 's winning streak brought end Saturday night 71-64 loss University Wisconsin .,Wisconsin Badgers play Duke NCAA tournament title Monday night - first final since 1941. University Kentucky's winning streak brought end Saturday night 71-64 loss University Wisconsin. Wisconsin Badgers will play Duke for first title since 1941 - first title for Badgers since 1941.
"During exchanges with  Marr, Chancellor repeatedly ducked questions .
Mr Osborne only said it would come from Conservatives’ ‘balanced plan’
Labour deputy leader Harriet Harman said the promise was ‘illusory'","Mr Osborne said would come Conservatives ’ ‘ balanced plan ’ Labour deputy leader Harriet Harman said promise ‘ illusory ' exchanges Marr , Chancellor repeatedly ducked questions .",Mr Osborne said would come Conservatives ’ ‘ balanced plan ’ Labour deputy leader Harriet Harman said promise ‘ illusory ’ Mr Osborne repeatedly ducked questions on the Marr show on Marr. Mr Osborne said will come Conservatives’ � ‘balanced plan �’
"White House said today that Jeremy Bernard would depart after a state dinner next month, confirming rumors he'd soon exit the administration .
First lady offered a glowing review of Bernard's tenure, saying she was 'lucky to have such a talented individual on my team' and a 'lifelong friend'
He is moving back to California 'to think about what’s next and spend some quality time with Garbo, my rescue beagle'
White House has not yet named a replacement .","First lady offered glowing review Bernard 's tenure , saying 'lucky talented individual team ' 'lifelong friend' moving back California 'to think ’ next spend quality time Garbo , rescue beagle' White House yet named replacement . White House said today Jeremy Bernard would depart state dinner next month , confirming rumors 'd soon exit administration .","First lady offered glowing review Bernard's tenure, saying 'lucky talented individual team''lifelong friend' moving back California 'to think ’ next spend quality time Garbo, rescue beagle' White House yet named replacement. White House said today Jeremy Bernard would depart state dinner next month confirming rumors 'd soon exit administration."
"Kevin Franklin left his 80-year-old victim without any money to buy milk .
Meanwhile fraudster funded dream Alps wedding with eight-years of thefts .
Franklin said he needed money for failing business and after family deaths .
When he was arrested the fraudster had told police: 'I played him'
Jailed for nearly five years despite Franklin saying he's 'terrified' of prison .",Meanwhile fraudster funded dream Alps wedding eight-years thefts . Kevin Franklin left 80-year-old victim without money buy milk .,"Meanwhile fraudster funded dream Alps wedding eight-years thefts. Kevin Franklin left 80-year-old victim without money buy milk.. He also left victim, 80, who is 80, without money to buy milk for eight years.. He left victim without. money to. buy milk."
"Andy found fame in Made In Chelsea and dated Louise Thompson .
Has his own line of surf-inspired city wear called Jam Industries .
Models spring/summer collection on beachy shoot .",line surf-inspired city wear called Jam Industries . Andy found fame Made Chelsea dated Louise Thompson .,"line surf-inspired city wear called Jam Industries. Andy found fame Made Chelsea dated Louise Thompson. Andy is married to Made Chelsea's Made Chelsea co-star, Chelsea Handler. Andy has a daughter with Made Chelsea ex-partner Louise Thompson, and a son with former girlfriend, Chelsea's ex-boyfriend,"
"Gerard Pique will be making his 300th Barcelona appearance against PSG .
The 28-year-old joined the Spanish giants in 2008 from Manchester United .
Pique is poised to star in Barca's Champions League quarter-final with PSG .",28-year-old joined Spanish giants 2008 Manchester United . Gerard Pique making 300th Barcelona appearance PSG .,"28-year-old joined Spanish giants 2008 Manchester United. Gerard Pique making 300th Barcelona appearance PSG. Barcelona defender has made 300 appearances for the Catalan giants. Pique has also played in the Champions League, the World Cup and the European Champions League."
"Porto hold a 3-1 first leg advantage over German giants Bayern Munich .
Manager Julen Lopetegui insists Porto must be on top form to progress .
Porto players appeared in high spirits during training at the Allianz Arena .",Manager Julen Lopetegui insists Porto must top form progress . Porto hold 3-1 first leg advantage German giants Bayern Munich .,Manager Julen Lopetegui insists Porto must top form to progress. Porto hold 3-1 first leg advantage over German giants Bayern Munich in Champions League last 16 tie. Bayern Munich beat Porto 3-0 in first leg at the Allianz Arena.
"Nigeria's President-elect sends nation's prayers to families of girls .
World still expresses hope that the girls will return .
Boko Haram controls a portion of northeastern Nigeria .",World still expresses hope girls return . Nigeria 's President-elect sends nation 's prayers families girls .,World still expresses hope girls return. Nigeria's President-elect sends nation's prayers for the return of the missing girls. Nigeria is one of the most populous countries in the world with a population of more than 200 million. Nigeria has the largest percentage of the world's population of girls in school.
"Canadian adultery website to list shares in London in bid to boost revenue .
Ashley Madison claims to be second-largest dating website in the world .
Online dating site allows married people to sign up and find affair partner .
Firm hopes Europe's supposed 'laissez faire' attitude to cheating will help .",Ashley Madison claims second-largest dating website world . Canadian adultery website list shares London bid boost revenue .,Ashley Madison claims second-largest dating website world.. Canadian adultery website list shares London bid boost revenue.. Ashley Madison.com is the world's second most popular dating website.. AshleyMadison.com. is the second largest dating website in the world...
